askari	soldier	noun			askari wanaandamana	the soldiers are marching
asubuhi	morning	noun				early morning
ateri	artery	noun		arteries carry blood away from the heart	ateri kubwa	a large artery
au	or	conjunction			Kofi au Ama	Kofi or Ama
Australia	Australia	noun			naenda Australia	go to Australia
azima	lend	verb			niazime kitabu hiki	lend me this book
azonto	azonto	noun			Ninaweza kudensi azonto	I know how to dance azonto
baadaye	later	adverb			nao watakula baadaye	they will eat later 
baadhi	some	determiner			baadhi ya chakula	some food
baba	father	noun			mtoto wa baba yangu ni ndugu yangu	my father's child is my sibling
babu	ancestor	noun			mababu zangu	my ancestors
babu	grandfather	noun			babu yangu	my grandfather
badhirifu	gaudy	adjective			mkufu badhirifu	gaudy necklace
badilika	change	verb			muda ukibadilika, badilika na nyakati	if time changes, change with the times
badilisha	replace	verb			nibadilishe	replace me
bado	still	adverb			bado nafanya	still doing
bafe	puff-adder	noun			bafe amekufa	the puff-adder is dead
bafu	bathroom	noun				go to the bathroom
bahari	ocean	noun			bahari kubwa	a large ocean
bahari	sea	noun			mto huelekea baharini	a river goes into a sea
bahasa	cheap	adjective			kuwa bahasa	be cheap
bahati	luck	noun			bahati na mafanikio	luck and success
bahili	miser	noun			yeye ni bahili	he is a miser
baina	among	preposition			baina watu	among people
baiskeli	bicycle	noun				new bicycle
bajeti	budget	noun			bajeti ya mwaka huu	this year's budget
baka	ringworm	noun			yeye ana baka, choa, bato	he has ringworm
bakuli	bowl	noun			bakuli nyekundu	a red bowl
bali	agree	verb			unakubali?	do you agree?
balozi	ambassador	noun			balozi wa Kenya	ambassador of Kenya
bana	pinch	verb			acha kunibana	stop pinching me
bandari	harbour	noun			meli iko bandarini	the ship is at the harbour
bandika	paste	verb			na kubandika juu ya ukuta	to paste it on the wall
bandika	attach	verb			bandika kwenye ukuta	attach to wall
bangi	marijuana	noun			yeye huvuta bangi	she smokes marijuana
banku	banku	noun			wewe hula banku?	you eat banku?
bao	goal	noun			funga bao	score a goal
bara	continent	noun			bara la Afrika	African continent
barabara kuu	highway	noun			magari kwenye barabara kuu	cars on a highway
baragumu	warhorn	noun			puliza baragumu	blow the warhorn
baraka	blessing	noun				God's blessing
baridi	cold	adjective			maji baridi	cold water
baridi	cool	adjective			pombe baridi	a cool beer
baridi yabisi	rheumatism	noun			baridi yabisi ni ugonjwa	rheumatism is a disease
barua	letter	noun			kuandika barua	to write a letter
barua pepe	email	noun			chapisha barua pepe	print the email
baruti	gunpowder	noun			Ninanusa baruti	I smell gunpowder
basi	bus	noun			kituo cha basi	bus stop
bata	duck	noun			bata mweupe	white duck
bata mzinga	turkey	noun			nyama ya bata mzinga	turkey meat
batabukini	goosebumps	noun			nina batabukini	I have got goosebumps
batiza	baptise	verb			batiza Yohana	baptise John
baya	ugly	adjective			ni mbaya	it is ugly
baya	bad	adjective			mbwa mbaya	bad dog
bayolojia	biology	noun		the study of living things	tunasoma bayolojia	we are learning biology
beba	carry	verb			kubeba kitabu	carry the book
bega	shoulder	noun			simama mabegani	stand on my shoulders
bei	price	noun			bei yake?	how much is the price?
beji	badge	noun			beji nyeupe	a white badge
benchi	bench	noun			kukalia benchi	to sit on the bench
bendera	flag	noun			bendera ya manjano	yellow flag
Benin	Benin	noun		A country in Africa	naenda Benin	go to Benin
benki	bank	noun			pesa zangu ziko katika benki	my money is at the bank
berili	beryllium	science			berili (Be) ina protoni nne	beryllium (Be) has 4 protons
betri	battery	noun			betri mpya	a new battery
bi harusi	bride	noun				bride's husband; groom
biashara	trade	noun		the exchange of products and services	biashara nzuri	a good trade
biashara	trade	verb		to exchange products and services	kufanya biashara haraka	to trade quickly
biashara	business	noun			biashara na siasa	business and politics
bibi	madam	noun			bibi Mary	madam Mary
bibi	grandmother	noun			bibi yangu	my grandmother
biblia	bible	noun			Biblia na Koran	the Bible and the Koran
bidhaa	product	noun			tangaza bidhaa	to advertise a product
bidii	stamina	noun			yeye ana bidii	she has stamina
bila makazi	homeless	adjective			mtu bila makazi	a homeless person
bila mwisho	infinity	noun		the number ∞	ukigawa nambari yoyote kwa sufuri, unapata bila mwisho	if you divide any number by zero, you get infinity
bilauri	tumbler	noun			bilauri moja ya maji	one tumbler of water
binadamu	human	noun			sisi ni binadamu	we are humans
bingwa	champion	noun			yeye ni bingwa	she is a champion
binti	miss	noun			bibi na binti	lady and young lady
binti	daughter	noun		female child	binti yangu	my daughter
bishana	dispute	verb			bishana naye	dispute him
bishana	argue	verb			bishana naye	argue with him
bishano	argument	noun			mabishano nyingi	many arguments
bisi	parched	adjective			ngozi bisi	parched skin
blanketi	blanket	noun				wet blanket
blogu	blog	noun				food blog
bofya	press	verb			kubofya mara saba	to press it seven times
bomba	pipe	noun			maji ya bomba	pipe water
bomu	bomb	noun			bomu lililipuka	the bomb exploded
bonde	valley	noun			milima na mabonde	hills and valleys
bonge	lump	noun			bonge la dhahabu	a lump of gold
bonyeza	click	verb			bonyeza hapa	click here
boron	boron	science			boron (B) ina protoni  tano	boron (B) has 5 protons
bosi	boss	noun			bosi wangu	my boss
breki	brake	noun			gari lina breki	brake of a car
breki	brake	verb				the driver has braked
buba	yaws	noun			buba ni ugonjwa	yaws is a disease
buibui	tarantula	noun			buibui mkubwa	a large tarantula
buibui	spider	noun			tandabui	spider's web
bundi	owl	noun				an owl is a bird
bungalo	bungalow	noun			bungalo tatu	three bungalows
bunge	parliament	noun			mchague aende bungeni	elect her to go to parliament
bunifu	creative	adjective			mtu mbunifu	a creative person
Burkina Faso	Burkina Faso	noun			naenda Burkina Faso	go to Burkina Faso
burudika	entertain	verb			jiburudishe	entertain yourself
burudishi	entertaining	adjective			inaburudisha	it is entertaining
busara	prudence	noun			busara na upendo	prudence and love
busara	wisdom	noun			uwezo na busara	strength and wisdom
bustani	garden	noun			bustani yetu	our garden
bustani yai	garden egg	noun			bustani yai kitoweo	garden egg stew
busu	kiss	verb			busu midomo yangu	kiss my lips
bwana	mister	noun		a courtesy title for males. Abbreviated as Mr.	Bwana Annan	Mister Annan
bwana	master	noun			bwana Kofi	Master Kofi
bwana	sir	noun			Nakushukuru bwana	I thank you sir
bwana arusi	groom	noun			marafiki wa bwana arusi	groom's friends
bweka	bark	verb			mbwa hubweka	a dog barks
chachu	acidic	adjective				acidic water
chafu	dirty	adjective			nguo chafu	dirty dress
chafu	filthy	adjective			mahali pale ni pachafu	the place is filthy
chafya	sneeze	verb				to sneeze loudly
chagua	select	verb		make a selection	kuchagua kitabu	to select a book
chai	tea	noun			chai ni tamu	the tea is sweet
chaki	chalk	noun			chaki nyeupe	white chalk
chakula	food	noun			kula chakula	eat food
changamoto	challenge	noun			changamoto nzuri	a good challenge
changanya	mix	verb				to mix tomatoes and pepper
chanja	vaccinate	verb			kuchanja mtoto	to vaccinate the child
chanje	crab	noun			supu ya chanje	crab soup
chanua	comb	verb			tumia kichanuo kuchanua nywele zako	use a comb to comb your hair
chapa	print	verb			wanachapa vitabu	they print books
chatu	python	noun			chatu ni nyoka	a python is a snake
chawa	louse	noun			chawa wa kuku	chicken lice
chaza	oyster	noun			mimi hula chaza	I eat oysters
chechevu	hiccups	noun			ana chechevu	he has got the hiccups
cheka	laugh	verb			anacheka	he is laughing
chekeshi	funny	adjective			hadithi chekeshi	funny story
cheki	cheque	noun			andika cheki	write a cheque
chembe	atom	science			chembe lina kiini na elektroni	an atom has a nucleus and electrons
chemka	boil	verb				the soup is boiling
cheo	title	noun			'Mighty One' ni cheo	"Mighty One" is a title
chepeo	headgear	noun			vaa chepeo	put on headgear
cheti	certificate	noun			ukimaliza shule unapewa cheti	when you complete school you get a certificate
