_	a	determiner			lehilahy sy vehivavy	a man and a woman
baolina kitra	soccer	noun			fifaninanana baolina kitra	football competition
baranjely	eggplant	noun			baranjely sy tavinkena	eggplant stew
barika	gallon	noun			barikan-drano	a gallon of water
barika	barrel	noun			fenoy ny barika	fill up the barrel
Benin	Benin	noun		A country in Africa	mandehana any Benin	go to Benin
berilioma	beryllium	science			misy protona 4 ny berilioma (Be)	beryllium (Be) has 4 protons
bibikely	insect	noun		an animal with 6 legs	bibikely ny kadradraka	a cockroach is an insect
bibilava	snake	noun			tsy misy tongotra ny biblava	a snake has no legs
birao	office	noun			ny biraon'ny reniko	the office of my mother
bisikileta	bicycle	noun			bisikileta vaovao	new bicycle
bitro	rabbit	noun			bitro fotsy iray	a white rabbit
boaty	box	noun			lehibe kokoa ny boaty A	box A is bigger than box B
bodofotsy	blanket	noun			bodofotsy lena	wet blanket
boky	book	noun			ity boky ity	this book
borona	boron	science			misy protona 5 ny borona (B)	boron (B) has 5 protons
borosy nify	toothbrush	noun			borosy nify sy	toothbrush and toothpaste
bozaka	grass	noun			mitsako bozaka  ny omby	a cow chews grass
Burkina Faso	Burkina Faso	noun		A country in Africa	mandehana any Burkina Faso	go to Burkina Faso
Congo	Congo	noun			mandehana any Congo	go to Congo
Côte d'Ivoire	Cote d'Ivoire	noun		A country in Africa	Mandehana any Côte d'Ivoire	go to Cote d'Ivoire
dadatoa	uncle	noun			dadatoa Kofi	uncle Kofi
daty	date	noun			inona no daty androany?	which date is today?
dentifrisy	toothpaste	noun			borody nify sy dentifrisy	toothbrush and toothpaste
dera	praise	noun			mendrika azy ny dera	she deserves praise
Desambra	December	noun			misy 31 andro ny volana desambra	December has 31 days
dia	be	verb		used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	Ianao dia olona manan-kaja	You are an important person
diera	deer	noun			tia ny henan'ny diera ny liona	a lion likes deer meat
dimampolo	fifty	adjective		the number 50	tavoahangy dimampolo	fifty bottles
dimy	five	adjective		The number 5	tavoahangy dimy	Five bottles
dimy ambin'ny folo	fifteen	adjective		the number 15	tavoahangy dimy ambin'ny folo	fifteen bottles
dimy lafy	pentagon	noun			manana zoro dimy ny dimy lafy	a pentagon has five angles
dipoavatra	pepper	noun			masiaka ny dipoavatra	the pepper burns
dite	tea	noun			mamy ny dite	the tea is sweet
divay	wine	noun			misotro divay mamy izahay	we are drinking sweet wine
drakaka	crab	noun			lasopy amin'ny drakaka	crab soup
dray	wow	exclamation			dray! misaotra!	wow! thank you!
ebola	ebola	noun			aretina ny ebola	ebola is a disease
efapolo	forty	adjective		the number 40	tavoahangy efapolo	forty bottles
efatra	four	adjective		The number 4	misy tavoahangy efatra eo amin'ny rindrina	There are four bottles on the wall
efatra ambin'ny folo	fourteen	adjective		the number 14	tavoahangy efatra ambin'ny folo	fourteen bottles
efitrano	room	noun			maroey ao amin'ny efitrano izy	she is sleeping in the room
efitrano fandraisam-bahiny	hall	noun			mipetraka ato amin'ny efitrano fandraisam-bahiny izahay	we are sitting in the hall
efitrano fandriana	bedroom	noun			misy efitrano fandriana roa ilay trano	the house has two bedrooms
elatra	wing	noun			misy elatra ny voromailala	a dove has wings
elefanta	elephant	noun			tena lehibe ny elefanta	an elephant is very big
elektrona	electron	science			manana fahana -1 ny elektrona	an electron has a charge of -1
elo	umbrella	noun			mipetraha eo ambanin'ny elo	sit under the umbrella
endrika	face	noun			jereo ny endriko	look at my face
enimpolo	sixty	adjective		the number 60	tavoahangy enimpolo	sixty bottles
enin-dafy	hexagon	noun		a polygon with six angles	manana zoro enina ny enin-dafy	a hexagon has six angles
enina	six	adjective		The number 6	tavoahangy enina	six bottles
enina ambin'ny folo	sixteen	adjective		the number 16	tavoahangy enina ambin'ny folo	sixteen bottles
eny	yes	exclamation			miteny eny aho	I say yes
erantany	world	noun			ankizy erantany	children of the world
eritreritra	thought	noun			eritreritrao	your thoughts
eritreritra	mind	noun			eritreriny	her mind
esory	shake	verb			esory ny havizanana	to shake the tiredness off
eto	here	noun		this place or this position	mandehana manomboka eto	go from here
eto	here	adverb			tsindrio eto	click here
