cyabo	their	possessive			inzu yabo	their house
cyacu	our	possessive			inzu yacu	our house
cyangwa	or	conjunction			Kofi cyangwa Ama	Kofi or Ama
cyanjye	my	possessive			inzu yanye	my house
cyawe	your	possessive		2nd person singular possessive pronoun	inzu yawe	your house
cye	her	possessive			inzu ye	her house
cye	his	possessive			inzu ye	his house
cyijimye	dark	adjective			ijoro ryijimye	dark night
cyiza	good	adjective			impano nziza	a good gift
cyiza	beautiful	adjective			ni cyiza	it is beautiful
cyo	it	pronoun		object pronoun used to refer to an impersonal thing	mu cyo ce	you (pl) kill it!
cyoroshye	soft	adjective			umugati woroshye	soft bread
cyoroshye	lightweight	adjective			igitabo kiroroshye	the book is lightweight
cyoroshye	easy	adjective			ikizamini kiroroshye	the exam is easy
cyumye	dry	adjective			ubutaka bwumye	dry land
cyuzuye	full	adjective			indobo yuzuye	full bucket
data	father	noun			Umwana wa data ni umuvandimwe wanjye	my father's child is my sibling
divayi	wine	noun			turanywa divayi iryoshye	we are drinking sweet wine
divayi	wine	noun			turanywa divayi iryohereye	we are drinking sweet wine
ebola	ebola	noun			ebola ni indwara	ebola is a disease
ejo	tomorrow	adverb			azahagera ejo	she will arrive tomorrow
ejo hashize	yesterday	adverb			yahageze ejo hashize	she arrived yesterday
ekuteri	earpiece	noun			ekuteri nshya	new earpiece
elegitoro	electron	science			elegitoro igira umuriro wa -1	an electron has a charge of -1
eliyumu	helium	science			eliyumu (He) igira poroto 2	helium (He) has 2 protons
emeyili	email	noun			wimprime emeyili	print the email
fasha	help	verb			u rafasha buri wese	you are helping everyone
fata	take	verb			gufata umuti	to take medicine
feri	iron	science			feri (Fe) igira poroto 26	iron (Fe) has 26 protons
feza	silver	noun			feza na zahabu	silver and gold
fise	have	verb irreg			afise amahera	she has money
fosifore	phosphorus	science			fosifore (P) igira poroto 15	phosphorus (P) has 15 protons
fulari	headscarf	noun			funga fulari	tie a headscarf
fuliworu	fluorine	science			fuliworu (F) igira poroto 9	fluorine (F) has 9 protons
gabana	share	verb			mugabane ibiryo	share the food
gabo	male	noun			Mandela ni umugabo	Mandela is male
galiyamoshi	train	noun			galiyamoshi nshya	new train
galo	gallon	noun			galo imwe ya amazi	a gallon of water
Gana	Ghana	noun		a country in Africa	abantu bo muri Gana bitwa Abanyagana	people from Ghana are called Ghanaians
garama	gramme	noun			amagarama icumi	ten grammes
Gashyantare	February	noun			Gashyantare igira iminsi 28 cyangwa 29	February has 28 or 29 days
gatandatu	six	adjective		The number 6	amacupa atandatu	six bottles
gatanu	five	adjective		The number 5	amacupa atanu	Five bottles
gatatu	three	adjective		The number 3	amacupa atatu	three bottles
genda	walk	verb			kugenda buhoro	to walk slowly
gereza	prison	noun			kujya muri gereza	go to prison
Gicurasi	May	noun			Gicurasi igira iminsi 31	May has 31 days
gihendutse	cheap	adjective			ba uhendutse	be cheap
gihenze	expensive	adjective			birahenze	it is expensive
gikomeye	difficult	adjective			ikizamini kirakomeye	the exam is difficult
gikomeye	hard	adjective			birakomeye	it is hard
gikomeye	strong	adjective			umugore ukomeye	a strong woman
gikonje	cold	adjective			amazi akonje	cold water
gishaje	old	adjective			ipanu ishaje	old pan
gishya	new	adjective			umuryango mushya	new family
gishyushye	hot	adjective			amazi ashyushye	hot water
gito	small	adjective			ikintu gito	a small thing
gitose	wet	adjective			uburingiti butose	wet blanket
gong gong	gong gong	noun			gukina gong gong	play the gong gong
gufata	catch	verb			fata umupira	catch the ball
gufunga	close	verb			gufunga urugi	to close the door
guha	give	verb			kumuha amazi	give the water to him
guhamagara	call	verb			guhamagara umuhungu	to call the boy
guhera	from	preposition			genda uhereye aha	go from here
guhuha	blow	verb			umwuka uhuha	blow air
gukina	play	verb			tu rimo gukina	we are playing
gumana	keep	verb			gumana eshanje	keep the change
gupfa	die	verb			gupfa ukiri muto mu mukino	to die young in the play
gurisha	sell	verb			kugurisha amazu	to sell houses
guruka	fly	verb			kuguruka mu kirere	to fly into the sky
gusakuza	shout	verb			gusakuza utabaza	to shout for help
gushidikanya	doubt	noun			arashidikanya	she has doubts
gushyingura	funeral	noun			ngiye gushyingura	I am going to a funeral
gusogongera	taste	verb			gusongongera ifunguro	taste the food
gutera urushinge	injection	noun			guterwa urushinge biraryana	an injection is painful
guteranya	addition	noun			1 + 1 = 2; ibi ni uguteranya	1 + 1 = 2; this is addition
gutwara	carry	verb			twara igitabo	carry the book
guverinoma	government	noun			guvernoma ya Nkrumah	Nkrumah's government
hagarara	stand	verb			guhagarara wemye	to stand slowly
hamwe na	with	conjunction			Kofi hamwe na Ama	Kofi with Ama
hano	here	adverb			kanda hano	click here
hanuka	fall	verb		move downward	umugozi wahanutse ku gisenge cya inzu	a rope fell from the roof of the house
hanze	outdoors	noun			jya hanze	go outdoors
hanze	outside	noun			jya hanze	go outside
hasi	down	adverb			jya hasi	go down
hasi	floor	noun			hasi kuri sima	on the floor
hehe	where	adverb			uba hehe?	where do you live?
hejuru	up	adverb			reba hejuru	look up
hereza	send	verb		assign a task to	nyohereza	send me
hereza	send	verb			nyoherereza	send me
hoteli	hotel	noun			arara muri hoteli	she sleeps at a hotel
humura	smell	verb			kwihumuriza indabo	to smell the flowers
hura	meet	verb			duhurire imuhira	meet me at home
iba	steal	verb			kuiba no kwangiza	steal and destroy
ibaba	feather	noun			amababa ya inyoni	bird's feathers
